Order ID,Product ID,Amount (kg),Order Confirm Date,Required Delivery Date
1005446,8908023,20000,2019-01-04,2019-02-19
1005446,8908023,20000,2019-01-04,2019-02-26
1005446,8908023,20000,2019-01-04,2019-02-27
1005446,8908023,20000,2019-01-04,2019-03-05
1005446,8908023,20000,2019-01-04,2019-03-12
1005446,8908023,20000,2019-01-04,2019-03-13
1005446,8908023,20000,2019-01-04,2019-03-19
1005446,8908023,20000,2019-01-04,2019-03-27
1005446,8908023,20000,2019-01-04,2019-03-26
1005507,8902635,21000,2019-01-13,2019-02-25
1005447,8907133,4500,2019-01-13,2019-04-09
1005448,8908112,20000,2019-01-13,2019-03-06
1005448,8908112,20000,2019-01-13,2019-04-02
1005465,8908023,22000,2019-01-14,2019-01-24
1005465,8908023,22000,2019-01-14,2019-01-25
1005465,8908023,22000,2019-01-14,2019-01-25
1005495,8908112,14000,2019-01-16,2019-03-10
1005452,8908112,5100,2019-01-24,2019-01-29
1005452,8908112,5100,2019-01-29,2019-03-05
1005507,8902635,21000,2018-10-26,2018-11-19
1005507,8902635,21000,2018-10-26,2018-12-06
1005495,8908112,5000,2018-10-26,2018-12-06
1005444,8902635,11200,2018-11-20,2019-02-18
1005435,8908023,21000,2018-11-23,2019-01-15
1005435,8908023,21000,2018-11-23,2019-01-08
1005435,8908023,21000,2018-11-23,2019-01-10
1005435,8908023,21000,2018-11-23,2019-01-17
1005429,8908748,20000,2018-12-11,2019-02-04
1005429,8908748,20000,2018-12-11,2019-02-08
1005429,8908748,20000,2018-12-11,2019-02-11
1005429,8908748,20000,2018-12-11,2019-02-14
1005429,8908748,20000,2018-12-11,2019-02-18
1005429,8908748,20000,2018-12-11,2019-02-20
1005429,8908748,20000,2018-12-11,2019-02-22
1005429,8908748,20000,2018-12-11,2019-02-26
1005429,8908748,20000,2018-12-11,2019-01-04
1005516,8905735,1880,2018-12-21,2019-03-25
1005488,8908023,21000,2019-01-03,2019-02-15
1005507,8902635,21000,2019-01-09,2019-02-11
1005507,8902635,21000,2019-01-09,2019-02-15
1005507,8902635,21000,2019-01-09,2019-02-22
1005584,8908023,22000,2019-01-09,2019-02-01
1005584,8908023,22000,2019-01-09,2019-02-08
1005584,8908023,22000,2019-01-09,2019-02-19
1005584,8908023,22000,2019-01-09,2019-02-11
1005452,8908112,10200,2019-01-09,2019-01-29
1005516,8905735,1880,2019-01-21,2019-04-10
1005586,8908114,20000,2018-11-11,2018-12-20
1005429,8908748,20000,2018-11-21,2019-01-08
1005429,8908748,20000,2018-11-21,2019-01-11
1005429,8908748,20000,2018-11-21,2019-01-14
1005429,8908748,12000,2018-11-21,2019-01-17
1005429,8908748,22000,2018-11-21,2019-01-22
1005429,8908748,22000,2018-11-21,2019-01-24
1005429,8908748,22000,2018-11-21,2019-01-29
1005429,8908748,22000,2018-11-21,2019-01-31
1005431,8908023,20000,2018-11-21,2019-01-14
1005446,8908023,20000,2018-11-23,2019-01-15
1005531,8902398,4100,2018-11-23,2019-01-14
1005507,8902635,21000,2018-12-04,2019-01-03
1005507,8902635,21000,2018-12-04,2019-01-08
1005507,8902635,21000,2018-12-04,2019-01-17
1005507,8902635,21000,2018-12-04,2019-01-24
1005452,8908112,10200,2019-01-13,2019-02-20
1005584,8908023,22000,2019-01-13,2019-03-01
1005465,8908023,22000,2019-01-14,2019-02-08
1005465,8908023,22000,2019-01-14,2019-02-15
1005465,8908023,22000,2019-01-14,2019-02-18
1005446,8908023,7000,2019-01-18,2019-01-29
1005684,8908023,22000,2019-01-21,2019-02-13
1005684,8908023,22000,2019-01-21,2019-02-20
1005507,8902635,21000,2019-01-22,2019-03-11
1005430,8908749,21000,2019-01-22,2019-03-15
1005430,8908749,21000,2019-01-22,2019-03-18
1005430,8908749,21000,2019-01-22,2019-03-22
1005430,8908749,21000,2019-01-22,2019-03-25
1005430,8908749,21000,2019-01-22,2019-03-08
1005430,8908749,21000,2019-01-22,2019-03-04
1005430,8908749,21000,2019-01-22,2019-03-29
1005430,8908749,21000,2019-01-22,2019-03-13
1005431,8908023,20000,2019-01-22,2019-03-15
1005431,8908023,20000,2019-01-22,2019-03-22
1005486,8902398,4020,2019-01-28,2019-03-25
1005499,8902398,1200,2019-02-05,2019-03-13
1005444,8902635,11000,2019-02-07,2019-04-09
1005444,8902635,11000,2019-02-07,2019-04-09
1005444,8902635,11000,2019-02-07,2019-04-09
1005444,8902635,11000,2019-02-07,2019-04-09
1005507,8902635,21000,2019-02-11,2019-03-08
1005507,8902635,21000,2019-02-11,2019-03-13
1005507,8902635,21000,2019-02-11,2019-03-20
1005507,8902635,21000,2019-02-11,2019-03-27
1005488,8908023,21000,2019-02-11,2019-03-05
1005465,8908023,21000,2018-10-26,2018-11-26
1005623,8908114,12000,2018-11-02,2018-11-14
1005447,8907133,6000,2018-11-15,2018-11-23
1005430,8908749,21000,2018-11-21,2019-01-22
1005430,8908749,21000,2018-11-21,2019-01-15
1005430,8908749,21000,2018-11-21,2019-01-28
1005430,8908749,21000,2018-11-21,2019-01-08
1005430,8908749,21000,2018-11-21,2019-01-11
1005499,8907133,6000,2018-11-21,2019-01-08
1005584,8908023,22000,2018-12-03,2018-12-20
1005584,8908023,22000,2018-12-03,2018-12-18
1005507,8902635,21000,2018-12-03,2018-12-28
1005584,8908023,22000,2018-12-03,2018-12-28
1005584,8908023,22000,2018-12-03,2019-01-10
1005432,8902635,21000,2018-12-03,2018-12-18
1005432,8902635,21000,2018-12-03,2018-12-20
1005432,8902635,21000,2018-12-03,2018-12-25
1005430,8908749,21000,2018-12-11,2019-02-22
1005430,8908749,21000,2018-12-11,2019-02-28
1005430,8908749,21000,2018-12-11,2019-02-04
1005430,8908749,21000,2018-12-11,2019-02-08
1005430,8908749,21000,2018-12-11,2019-02-11
1005430,8908749,21000,2018-12-11,2019-02-14
1005430,8908749,21000,2018-12-11,2019-02-18
1005488,8908023,22000,2018-12-11,2019-01-11
1005488,8908023,22000,2018-12-11,2019-01-15
1005462,8902398,14500,2018-12-19,2019-02-18
1005462,8902398,11500,2018-10-26,2018-12-31
